ticker,ano,fechamento
MTRE3,2018,
ZAMP3,2025,3.49
ZAMP3,2024,2.26
ZAMP3,2023,5.7
ZAMP3,2022,5.45
ZAMP3,2021,5.98
ZAMP3,2020,10.9
ZAMP3,2019,17.72
ZAMP3,2018,20.53
JALL3,2025,2.75
JALL3,2024,4.64
JALL3,2023,7.76
JALL3,2022,7.17
JALL3,2021,9.55
JALL3,2020,
JALL3,2019,
JALL3,2018,
IFCM3,2025,0.45
IFCM3,2024,1.0
IFCM3,2023,30.8
IFCM3,2022,60.75
IFCM3,2021,268.6
IFCM3,2020,
IFCM3,2019,
IFCM3,2018,
ARML3,2025,4.01
ARML3,2024,4.85
ARML3,2023,15.92
ARML3,2022,10.83
ARML3,2021,23.43
ARML3,2020,
ARML3,2019,
